,r,pair,rank_score,weighted_precision,total_count,pos_count_ts,neg_count_ts,pos_acc_ts,neg_acc_ts,ks_ts,bal_accuracy,f1_ts,accuracy_ts,best_n_estimators,indicator_1,indicator_2
90,45,BB_Upper + ATR_21,0.45304958782438215,0.6416040100250626,399,294,105,0.7040816326530612,0.4666666666666667,0.17043167076716617,0.5853741496598639,0.7432675044883303,0.6416040100250626,9,BB_Upper,ATR_21
91,45,ATR_21 + Price_Vol_Ratio_5,0.45283334000795966,0.6253101736972705,403,290,113,0.7,0.4336283185840708,0.18305243445692884,0.5668141592920354,0.7289048473967683,0.6253101736972705,9,ATR_21,Price_Vol_Ratio_5
92,45,RSI_21 + ATR_7,0.4523521856654849,0.6478149100257069,389,253,136,0.7628458498023716,0.4338235294117647,0.260192966075319,0.5983346896070681,0.7380497131931166,0.6478149100257069,17,RSI_21,ATR_7
93,45,ATR_7 + ATR_14_EA25,0.4517380160299384,0.6390977443609023,399,294,105,0.7108843537414966,0.4380952380952381,0.2003531958527971,0.5744897959183674,0.7437722419928824,0.6390977443609023,17,ATR_7,ATR_14_EA25
94,45,num_days_200 + 10_ESMA_100,0.4506795389157189,0.7015503875968992,258,176,82,0.7727272727272727,0.5487804878048781,0.5528731723903434,0.6607538802660754,0.7793696275071634,0.7015503875968992,28,num_days_200,10_ESMA_100
95,45,ATR_21 + Intraday Volatility,0.4476183323227079,0.6108374384236454,406,285,121,0.6982456140350877,0.4049586776859504,0.1942052753860872,0.551602145860519,0.7158273381294964,0.6108374384236454,5,ATR_21,Intraday Volatility
96,45,Min_60_Rows_Since + ATR_14,0.4474907174642153,0.6386138613861386,404,299,105,0.7090301003344481,0.4380952380952381,0.16236162361623616,0.5735626692148431,0.7438596491228069,0.6386138613861386,10,Min_60_Rows_Since,ATR_14
97,45,vol_10 + Price_Vol_Ratio_10_EA50,0.4362064421023927,0.6398891966759003,361,245,116,0.746938775510204,0.41379310344827586,0.25501629844259327,0.58036593947924,0.7379032258064517,0.6398891966759003,16,vol_10,Price_Vol_Ratio_10_EA50
98,45,num_days_200 + 25_SMA_100,0.4327343093912258,0.7269076305220884,249,176,73,0.8522727272727273,0.4246575342465753,0.40652412280701755,0.6384651307596513,0.8152173913043479,0.7269076305220884,29,num_days_200,25_SMA_100
99,45,10_SMA_50 + DownVolume,0.431248592344202,0.6401098901098901,364,260,104,0.7269230769230769,0.4230769230769231,0.1503404924044002,0.575,0.7426326129666011,0.6401098901098901,47,10_SMA_50,DownVolume
100,60,Rel_Max_30 + ATR_21,0.5507339960564291,0.7113163972286374,433,317,116,0.8201892744479495,0.41379310344827586,0.3530197444831591,0.6169911889481127,0.8062015503875969,0.7113163972286374,27,Rel_Max_30,ATR_21
101,60,Max_60_Rows_Since + ATR_21,0.5442771379579071,0.7093023255813954,430,308,122,0.827922077922078,0.4098360655737705,0.3800659125322882,0.6188790717479242,0.8031496062992126,0.7093023255813954,33,Max_60_Rows_Since,ATR_21
102,60,Max_30_Rows_Since + ATR_21,0.5439199118057908,0.7146171693735499,431,314,117,0.8248407643312102,0.4188034188034188,0.3082509997647612,0.6218220915673145,0.8081123244929798,0.7146171693735499,28,Max_30_Rows_Since,ATR_21
103,60,BB_Upper + ATR_21,0.5405912550269311,0.7227488151658767,422,309,113,0.8381877022653722,0.40707964601769914,0.3010608384458078,0.6226336741415357,0.8157480314960629,0.7227488151658767,24,BB_Upper,ATR_21
104,60,Rel_Max_60 + ATR_21,0.535715933597875,0.7048054919908466,437,313,124,0.8242811501597445,0.4032258064516129,0.31288009179575443,0.6137534783056786,0.7999999999999999,0.7048054919908466,27,Rel_Max_60,ATR_21
105,60,Rel_Max_120 + ATR_14,0.5049728960568346,0.7320441988950276,362,268,94,0.8395522388059702,0.425531914893617,0.3385585352161333,0.6325420768497936,0.8226691042047533,0.7320441988950276,48,Rel_Max_120,ATR_14
106,60,Min_60_Rows_Since + ATR_21,0.5047970725455928,0.6752941176470588,425,301,124,0.7873754152823921,0.4032258064516129,0.30216618717211036,0.5953006108670025,0.7745098039215687,0.6752941176470588,23,Min_60_Rows_Since,ATR_21
