,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
2459,20,N,keep,Rel_Min_10,0.5209372320320133,0.43850926962560965,0.6426140412613204,0.618004222817362,-0.04302347031481127,-0.9788147502970107,0.06580333869447064,0.1657336951365301
2460,30,N,keep,Rel_Min_10,0.504896758168834,0.4256671138938581,0.626971897420189,0.6243656411884534,-1.0675379034187458,-1.6554176681861559,0.044350005206960044,0.16472868217054262
2461,45,N,no_signal,Rel_Min_10,0.519028117430935,0.46356912424266267,0.6049532272693309,0.5978446759237058,-0.043867897598812204,-0.842190979488889,0.04979230778231515,0.12766543394444882
2462,60,N,keep,Rel_Min_10,0.5140922044929354,0.5711842105263157,0.5798937451011065,0.5526580530049245,-1.0233501112596637,-1.0624392527644362,0.053583817048398125,0.18026315789473685
2463,90,N,keep,Rel_Min_10,0.5048927287732355,0.5599197247706422,0.5114108588265767,0.4216752449814619,-0.28767921299778265,-0.30079484712208127,0.041330483650093564,0.17029816513761467
2464,5,N,keep,Rel_Min_120,0.5033219016480186,0.5956029921547163,0.676328472170518,0.6744962846342767,-0.42772758986744386,-0.16991734919769216,0.033323658850079076,0.20187092600885703
2465,10,N,keep,Rel_Min_120,0.5043225948309698,0.4442036930681007,0.658174375252174,0.6530812995282812,0.05168966736170937,0.2519589266647829,0.05584336321920806,0.15637236986372893
2466,20,N,keep,Rel_Min_120,0.48753962193316636,0.40232262471773655,0.6426259673732133,0.6169239510390955,0.12918155927840227,0.23183277398751784,0.07570295602018745,0.21729065067648343
2467,30,N,keep,Rel_Min_120,0.5421464640309848,0.672592426952892,0.6265972254940823,0.620020905996982,-0.38268705164979966,-0.12663717174561007,0.13992985006170802,0.3330351818723912
2468,45,N,keep,Rel_Min_120,0.49179996021670197,0.27639861515461484,0.6049703957054849,0.6046542213639827,0.01200320515711629,0.6338591826819051,0.05728560897698419,0.40896215280509873
2469,60,N,keep,Rel_Min_120,0.5158977136040807,0.29667763157894733,0.5795637502994828,0.5634661341205454,0.2293452658438047,1.0761132864084306,0.05674314605283516,0.3701754385964912
