,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
4295,45,N,no_signal,plus_DI_EA10,0.5045060435510104,0.5349948855142026,0.6051376874008345,0.5968661781637562,-0.12122485950048766,-0.01276501767585528,0.03843768648420954,0.08745770713667479
4296,60,N,no_signal,plus_DI_EA10,0.5072819289375571,0.46184210526315794,0.580401106268842,0.5546040018715919,-0.18560657732574587,-0.2137020938283048,0.05560019764522682,0.10921052631578948
4297,90,N,no_signal,plus_DI_EA10,0.518472053857804,0.5105002866972477,0.5108816920559306,0.4217376110497278,0.24631387060232593,0.34332295812934155,0.047276728628131454,0.07009747706422019
4298,5,N,no_signal,plus_DI_EA25,0.4964727623808706,0.5368794679139507,0.6764609325621914,0.675402230739219,-0.03426648611251775,0.0014943078023693826,0.04713250290728094,0.11867442901925661
4299,10,N,no_signal,plus_DI_EA25,0.5302787133524718,0.48556361927635355,0.6572477102126223,0.6544792259391821,-0.33748972269640665,-0.37721098163254824,0.06771893989055318,0.0757931742633878
4300,20,N,no_signal,plus_DI_EA25,0.47750455412260073,0.4724567828611549,0.6432720661282011,0.6167086778842891,-0.12392136880269317,0.034321188363528786,0.054434030281182405,0.13021119945350007
4301,30,N,no_signal,plus_DI_EA25,0.4976723780740452,0.45058139534883723,0.6270042823268742,0.6231044079428814,0.005928888366876208,0.12693415333968253,0.0319862447625737,0.15518783542039355
4302,45,N,no_signal,plus_DI_EA25,0.5037080373963001,0.517703989298922,0.6051240259870146,0.5969864029909104,-0.055599991964949726,-0.02488754981998258,0.05483776605080561,0.10445353686363994
4303,60,N,no_signal,plus_DI_EA25,0.5149406814767493,0.4555482456140352,0.5803142413093177,0.5551364065854952,-0.09178238743928072,-0.14232633698852445,0.06897618774300131,0.1162280701754386
4304,90,N,no_signal,plus_DI_EA25,0.5090402875479524,0.5303182339449541,0.5109034976652317,0.42075462476063874,0.3235362747670554,0.2966131617010176,0.05576229530497556,0.13116399082568808
